razon_social,establecimiento,localidad_id,clae2,certificadora_id,categoria_id,rubro
LABORATORIOS FERRINI S.A.I.C.I.,LABORATORIOS FERRINI S.A.I.C.I. 1,2000010,999,2,2,PRODUCTOS PARA EL CUIDADO PERSONAL
MIEL CETA S.R.L.,MIEL CETA S.R.L. 1,2000010,10,2,2,PROCESAMIENTO APICOLA
PUREST FIELDS SA,PUREST FIELDS SA 1,2000010,10,4,2,FRACCIONAMIENTO DE MIEL
ANDILLIAN SA,ANDILLIAN SA 2,2000010,45,1,3,
ARGENTBIO S.R.L.,ARGENTBIO S.R.L. 3,2000010,45,2,3,
BIO GRAINS SA,BIO GRAINS SA 4,2000010,45,1,3,
DANIEL ORLANDO BAZAN RICHIBUT,DANIEL ORLANDO BAZAN RICHIBUT 2,2000010,45,4,3,
DROGUERIA HIERBAS DEL OASIS SRL ,DROGUERIA HIERBAS DEL OASIS SRL  2,2000010,45,1,3,
EDCO GRAINS S.A.,EDCO GRAINS S.A. 1,2000010,45,3,3,
EDUARDO POMPEYO ROJAS,EDUARDO POMPEYO ROJAS 1,2000010,45,3,3,
ESTANCIA LAGUNA VERDE S.A.,ESTANCIA LAGUNA VERDE S.A. 1,2000010,45,3,3,
FDB AGROEXPORT S.A.,FDB AGROEXPORT S.A. 1,2000010,45,2,3,
FLOTOM SRL,FLOTOM SRL 1,2000010,45,4,3,
ECO HOLDING S.R.L.,ECO HOLDING S.R.L. 2,2000010,45,2,3,
FOWLER S.A.,FOWLER S.A. 2,2000010,45,2,3,
GALATIC SA,GALATIC SA 1,2000010,45,1,3,
GOLONDRINA TRADING SRL,GOLONDRINA TRADING SRL 1,2000010,45,2,3,
"GREGORIO, NUMO Y NOEL WERTHEIN SA ","GREGORIO, NUMO Y NOEL WERTHEIN SA  3",2000010,45,1,3,
GRUPO ADN S.A.,GRUPO ADN S.A. 2,2000010,45,2,3,
HONEY & GRAINS SRL,HONEY & GRAINS SRL 1,2000010,45,4,3,
HONEY THINGS SA,HONEY THINGS SA 1,2000010,45,4,3,
IDALTEK SA,IDALTEK SA 1,2000010,45,2,3,
INTERRUPCION S.A.,INTERRUPCION S.A. 1,2000010,45,2,3,
LABORATORIO ELEA S.A.C.I.F Y A.,LABORATORIO ELEA S.A.C.I.F Y A. 1,2000010,45,2,3,
LONGEVORGANICA SRL,LONGEVORGANICA SRL 1,2000010,45,1,3,
MAOAR S.R.L.,MAOAR S.R.L. 1,2000010,45,2,3,
MOï¿½O AZUL SACYA,MOï¿½O AZUL SACYA 1,2000010,45,1,3,
