id,nombre,centroide_lon,centroide_lat,categoria,fuente,municipio_id,departamento_id
6014030,JUAN E. BARRA,-60.484639770555,-37.8233871716044,Localidad simple,INDEC,60014.0,6014.0
6063030,NAPALEOFU,-58.7461862359423,-37.6254980210026,Localidad simple,INDEC,60063.0,6063.0
6063040,RAMOS OTERO,-58.3407185507274,-37.5426353712017,Localidad simple,INDEC,60063.0,6063.0
6063050,SAN AGUSTIN,-58.355377761682,-38.0122838564587,Localidad simple,INDEC,60063.0,6063.0
6063060,VILLA LAGUNA LA BRAVA,-57.9806008736401,-37.8596285282151,Localidad simple,INDEC,60063.0,6063.0
26007010,ARROYO VERDE,-65.3064500926092,-42.0119886969656,Localidad simple,INDEC,,26007.0
6014040,VASQUEZ,-60.1708487303777,-38.1766861391835,Localidad simple,INDEC,60014.0,6014.0
30015090,LA CRIOLLA,-58.1060425422369,-31.2693712880357,Localidad simple,INDEC,,30015.0
6070010,BARADERO,-59.5043068852807,-33.8128781547156,Localidad simple,INDEC,60070.0,6070.0
6084020,BENITO JUAREZ,-59.8057677109444,-37.6766410210104,Localidad simple,INDEC,60084.0,6084.0
6070020,IRINEO PORTELA,-59.6715601606315,-33.9810489198561,Localidad simple,INDEC,60070.0,6070.0
66126010,AGUAS BLANCAS,-64.346319220401,-22.7245611902241,Localidad simple,INDEC,,66126.0
6021010,ALBERTI,-60.2806197287099,-35.0330734347841,Localidad simple,INDEC,60021.0,6021.0
6021020,CORONEL SEGUI,-60.3939708823403,-34.8681189984321,Localidad simple,INDEC,60021.0,6021.0
6070030,SANTA COLOMA,-59.5585420642846,-34.062154134736,Localidad simple,INDEC,60070.0,6070.0
6070040,VILLA ALSINA,-59.3882017132282,-33.9096038045591,Localidad simple,INDEC,60070.0,6070.0
6077010,ARRECIFES,-60.1025564443537,-34.064591121211,Localidad simple,INDEC,60077.0,6077.0
6077020,TODD,-60.1562270065745,-34.0328240475348,Localidad simple,INDEC,60077.0,6077.0
6077030,VINA,-60.2263211205477,-33.9922765156086,Localidad simple,INDEC,60077.0,6077.0
6084010,BARKER,-59.3889380312926,-37.6424111302365,Localidad simple,INDEC,60084.0,6084.0
6084030,LOPEZ,-59.6278461536299,-37.5545120854221,Localidad simple,INDEC,60084.0,6084.0
6084040,TEDIN URIBURU,-59.7630391604187,-37.3683686253208,Localidad simple,INDEC,60084.0,6084.0
6021030,MECHITA,-60.4025971632697,-35.068013673391,Componente de localidad compuesta,INDEC,60021.0,6021.0
6021040,PLA,-60.2200612615259,-35.1243819752343,Localidad simple,INDEC,60021.0,6021.0
6021050,VILLA GRISOLIA,-60.070551324606,-35.1096178332808,Localidad simple,INDEC,60021.0,6021.0
6021060,VILLA MARIA,-60.3469385614882,-34.8881255447686,Localidad simple,INDEC,60021.0,6021.0
6021070,VILLA ORTIZ,-60.3048498633641,-34.8435329449862,Localidad simple,INDEC,60021.0,6021.0
6028010,ALMIRANTE BROWN,-58.3913639562887,-34.8002849372665,Componente de localidad compuesta,INDEC,60028.0,6028.0
6035010,AVELLANEDA,-58.3609838160556,-34.6670197685011,Componente de localidad compuesta,INDEC,60035.0,6035.0
6042010,AYACUCHO,-58.4895476662462,-37.1536695670417,Localidad simple,INDEC,60042.0,6042.0
6042020,LA CONSTANCIA,-58.7603890048806,-37.2286256057071,Localidad simple,INDEC,60042.0,6042.0
6042030,SOLANET,-58.5071421689017,-36.8444984439739,Localidad simple,INDEC,60042.0,6042.0
6042040,UDAQUIOLA,-58.5333344196536,-36.5637513540211,Localidad simple,INDEC,60042.0,6042.0
6049010,ARIEL,-59.9200651844348,-36.5312544192466,Localidad simple,INDEC,60049.0,6049.0
6049020,AZUL,-59.8586331707413,-36.7795144970312,Localidad simple,INDEC,60049.0,6049.0
6049030,CACHARI,-59.5030645507265,-36.3805626332947,Localidad simple,INDEC,60049.0,6049.0
6049040,CHILLAR,-59.9853181679139,-37.3150113247344,Localidad simple,INDEC,60049.0,6049.0
6049050,16 DE JULIO,-60.1652139181813,-37.2020524773603,Localidad simple,INDEC,60049.0,6049.0
6056010,BAHIA BLANCA,-62.265959896828,-38.7138052426005,Localidad simple,INDEC,60056.0,6056.0
6056020,CABILDO,-61.8926015349486,-38.4838572081944,Localidad simple,INDEC,60056.0,6056.0
6056030,GENERAL DANIEL CERRI,-62.3924221653991,-38.7136524854985,Localidad simple,INDEC,60056.0,6056.0
6063010,BALCARCE,-58.2551665841248,-37.8482779294345,Localidad simple,INDEC,60063.0,6063.0
6063020,LOS PINOS,-58.3225920150442,-37.9412057603,Localidad simple,INDEC,60063.0,6063.0
6084050,VILLA CACIQUE,-59.4003533386514,-37.6704778893557,Localidad simple,INDEC,60084.0,6084.0
6091010,BERAZATEGUI,-58.2078083914443,-34.7633439435624,Componente de localidad compuesta,INDEC,60091.0,6091.0
6098010,BERISSO,-57.8863953320288,-34.8764141983789,Componente de localidad compuesta,INDEC,60098.0,6098.0
