,operador_id,producto
0,0,SOJA
1,1,GIRASOL
2,1,MIJO
3,1,RESIDUO VEGETAL
4,2,MAIZ
5,2,AVENA
6,2,CAMPO NATURAL
7,3,SOJA
8,3,ALPISTE
9,4,SOJA
10,4,ALPISTE
11,4,TRIGO
12,5,CEREALES
13,6,CEREALES
14,7,NUEZ PECAN
15,7,PASTURAS
16,7,INCULTO
17,8,GANADERIA BOVINA
18,9,ARANDANO
19,10,ARANDANO
20,10,FRAMBUESA
21,10,MORA
22,10,TOMATE
23,10,PIMIENTO
24,10,ZAPALLO
25,10,INCULTO
26,11,ARANDANO
27,11,DESCANSO
28,12,TRIGO
29,12,SOJA
30,13,LINO DORADO
31,13,SOJA
32,14,TRIGO
33,14,SOJA
34,15,TRIGO
35,15,SOJA
36,16,ARANDANO
37,16,PASTURAS
38,17,ARANDANO
39,17,NARANJA
40,18,VACAS
41,18,VAQUILLONAS
42,18,NOVILLOS
43,18,TOROS
44,18,TERNERAS
45,19,OLIVO
46,20,REPOLLO
47,20,ACELGA
48,20,BROCOLI
49,20,HINOJO
50,20,HABAS
51,20,ESPINACA
52,20,COLIFLOR
53,20,LECHUGA
54,20,CEBOLLA DE VERDEO
55,20,MANZANA
56,20,HIGOS
57,20,CIRUELA
58,20,PERA
59,20,DURAZNO
60,20,MANDARINA
61,20,POMELO
62,20,FORESTALES
63,21,ARANDANO
64,21,MORA
65,21,CIRUELA
66,21,DURAZNO
67,22,ARANDANOS
68,23,HORTALIZAS
69,24,HORTICULTURA: HORTALIZAS DE RAIZ
70,24,HOJA
71,24,FRUTOS
72,25,HUEVOS
73,26,AVENA
74,26,TRIGO
75,27,KIWI
76,28,CEREALES
77,29,CEREALES
78,30,TRIGO
79,30,CENTENO
80,30,AVENA
81,30,CEBADA
82,30,PASTURAS
83,30,CAMPO NATURAL
84,31,CEREALES
85,32,CEREALES
86,33,MAIZ
87,33,SOJA
88,33,GIRASOL
89,33,LINO
90,33,TRIGO
91,34,MAIZ
92,34,LINO
93,34,TRIGO
94,34,GIRASOL
95,35,AVENA
96,35,ARVEJA
97,35,ABONO VERDE
98,35,TRIGO
99,35,SORGO
100,37,VACAS
101,37,TERNEROS
102,38,KIWI
103,38,LIMON
104,38,MORAS SILVESTRES
105,38,NOGALES
106,38,MANDARINA
107,38,HIGO
108,40,CEREALES
109,40,OLEAGINOSAS
110,41,LECHE
111,41,VACAS DE TAMBO
112,41,VAQUILLONAS
113,41,TOROS
114,41,TERNERAS
115,41,TERNEROS
116,42,AVENA
117,43,RUCULA
118,43,RABANITO
119,43,PUERROS
120,43,PIMIENTOS
121,43,BERENJENAS
122,43,CEBOLLA
123,43,PEREJIL
124,43,ACELGA
125,43,REMOLACHA
126,43,ZAPALLO
127,43,BATATA
128,43,HINOJO
129,43,ESCAROLA
130,43,REPOLLO
131,43,ZANAHORIA
132,43,CHAUCHA
133,43,ZAPALLITO
134,43,ZUCCHINI
135,43,TOMATE
136,43,LECHUGA
137,43,CIBOULETTE
138,43,FRUTILLA
139,43,ESPINACA
140,43,ARVEJA
141,43,HABAS
142,43,PAK CHOY
143,43,RADICHETA
144,43,APIO
145,43,JENJIBRE
146,43,MILENRAMA
147,43,CEDRON
148,43,SALVIA
149,43,MENTA
150,43,MELISA
151,43,TOMILLO
152,43,ROMERO
153,43,MOSTAZA
154,43,CURCUMA
155,43,AJENJO
156,43,KALE
157,43, LIMON
158,43,MANZANA
159,43,BROCOLI
160,43,AJO
161,43,ALCAUCIL.
162,44,CEREALES
163,44,OLEAGINOSAS
164,45,CEREALES
165,45,OLEAGINOSAS
166,46,CEREALES
167,46,OLEAGINOSAS
168,47,PASTURAS
169,47,SORGO
170,47,CEBADA
171,47,TRIGO
172,47,CAMPO NATURAL
173,48,GANADERIA BOVINA
174,49,CEREALES
175,50,AVENA
176,50,CEBADA
177,50,TRIGO
178,51,ZAPALLO RED HOKKAIDO
179,51,CEBOLLA
180,52,AVENA
181,52,TRIGO
182,53,AVENA
183,53,TRIGO
184,54,KIWI
185,54,DESCANSO
186,54,MONTE
187,55,SOJA
188,56,GANADERIA BOVINA
189,57,TRIGO
190,58,TRIGO
191,60,SOJA
192,60,ABONO VERDE
193,61,MAIZ
194,62,MAIZ
195,63,SOJA
196,63,MAIZ
197,64,SOJA
198,64,ARVEJA
199,64,MAIZ
200,64,RESIDUO VEGETAL
201,65,CENTENO
202,65,MAIZ PISINGALLO
203,65,DESCANSO
204,65,SOJA
205,66,CEBADA
206,66,TRIGO
207,66,GANADERIA BOVINA
208,67,VACAS
209,67,TERNERAS
210,67,TOROS
211,67,VAQUILLONAS
212,67,NOVILLOS
213,68,GIRASOL ALTO OLEICO
214,68,DINKEL
215,69,ROMERO
216,69,LAVANDA
