,clae2,clae2_desc,letra_id
0,1,"AGRICULTURA, GANADERIA, CAZA Y SERVICIOS RELACIONADOS",A
1,2,SILVICULTURA Y EXPLOTACION FORESTAL,A
2,3,PESCA Y ACUICULTURA,A
3,5,EXTRACCION DE CARBON Y LIGNITO,B
4,6,EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL,B
5,7,EXTRACCION DE MINERALES METALICOS,B
6,8,EXTRACCION DE OTROS MINERALES,B
7,9,ACTIVIDADES DE APOYO AL PETROLEO Y LA MINERIA,B
8,10,ELABORACION DE PRODUCTOS ALIMENTICIOS,C
9,11,ELABORACION DE BEBIDAS,C
10,12,ELABORACION DE PRODUCTOS DE TABACO,C
11,13,ELABORACION DE PRODUCTOS TEXTILES,C
12,14,ELABORACION DE PRENDAS DE VESTIR,C
13,15,ELABORACION DE PRODUCTOS DE CUERO Y CALZADO,C
14,16,ELABORACION DE PRODUCTOS DE MADERA,C
15,17,ELABORACION DE PRODUCTOS DE PAPEL,C
16,18,IMPRENTAS Y EDITORIALES,C
17,19,FABRICACION DE PRODUCTOS DE REFINACION DE PETROLEO,C
18,20,FABRICACION DE SUSTANCIAS QUIMICAS,C
19,21,ELABORACION DE PRODUCTOS FARMACEUTICOS,C
20,22,FABRICACION DE PRODUCTOS DE CAUCHO Y VIDRIO,C
21,23,FABRICACION DE PRODUCTOS DE VIDRIO Y OTROS MINERALES NO METALICOS,C
22,24,FABRICACION DE METALES COMUNES,C
23,25,"FABRICACION DE PRODUCTOS ELABORADOS DEL METAL, EXCEPTO MAQUINARIA Y EQUIPO",C
24,26,"FABRICACION DE PRODUCTOS DE INFORMATICA, DE ELECTRONICA Y DE OPTICA",C
25,27,FABRICACION DE EQUIPO ELECTRICO,C
26,28,FABRICACION DE MAQUINARIAS,C
27,29,"FABRICACION DE VEHICULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES",C
28,30,FABRICACION DE OTROS EQUIPOS DE TRANSPORTE,C
